 ------------------------------------------ ---------- -------- ------ ---------------------------------------------------- 
  Name                                       Method     Scheme   Host   Path                                                
 ------------------------------------------ ---------- -------- ------ ---------------------------------------------------- 
  _wdt                                       ANY        ANY      ANY    /_wdt/{token}                                       
  _profiler_home                             ANY        ANY      ANY    /_profiler/                                         
  _profiler_search                           ANY        ANY      ANY    /_profiler/search                                   
  _profiler_search_bar                       ANY        ANY      ANY    /_profiler/search_bar                               
  _profiler_purge                            ANY        ANY      ANY    /_profiler/purge                                    
  _profiler_info                             ANY        ANY      ANY    /_profiler/info/{about}                             
  _profiler_phpinfo                          ANY        ANY      ANY    /_profiler/phpinfo                                  
  _profiler_search_results                   ANY        ANY      ANY    /_profiler/{token}/search/results                   
  _profiler                                  ANY        ANY      ANY    /_profiler/{token}                                  
  _profiler_router                           ANY        ANY      ANY    /_profiler/{token}/router                           
  _profiler_exception                        ANY        ANY      ANY    /_profiler/{token}/exception                        
  _profiler_exception_css                    ANY        ANY      ANY    /_profiler/{token}/exception.css                    
  _twig_error_test                           ANY        ANY      ANY    /_error/{code}.{_format}                            
  timesheet_index                            GET        ANY      ANY    /timesheet/                                         
  calendar                                   ANY        ANY      ANY    /timesheet/                                         
  timesheet_new                              GET|POST   ANY      ANY    /timesheet/new                                      
  timesheet_show                             GET        ANY      ANY    /timesheet/{id}                                     
  timesheet_edit                             GET|POST   ANY      ANY    /timesheet/{id}/edit                                
  timesheet_delete                           DELETE     ANY      ANY    /timesheet/{id}                                     
  sonata_admin_redirect                      ANY        ANY      ANY    /admin/                                             
  sonata_admin_dashboard                     ANY        ANY      ANY    /admin/dashboard                                    
  sonata_admin_retrieve_form_element         ANY        ANY      ANY    /admin/core/get-form-field-element                  
  sonata_admin_append_form_element           ANY        ANY      ANY    /admin/core/append-form-field-element               
  sonata_admin_short_object_information      ANY        ANY      ANY    /admin/core/get-short-object-description.{_format}  
  sonata_admin_set_object_field_value        ANY        ANY      ANY    /admin/core/set-object-field-value                  
  sonata_admin_search                        ANY        ANY      ANY    /admin/search                                       
  sonata_admin_retrieve_autocomplete_items   ANY        ANY      ANY    /admin/core/get-autocomplete-items                  
  admin_app_user_list                        ANY        ANY      ANY    /admin/app/user/list                                
  admin_app_user_create                      ANY        ANY      ANY    /admin/app/user/create                              
  admin_app_user_batch                       ANY        ANY      ANY    /admin/app/user/batch                               
  admin_app_user_edit                        ANY        ANY      ANY    /admin/app/user/{id}/edit                           
  admin_app_user_delete                      ANY        ANY      ANY    /admin/app/user/{id}/delete                         
  admin_app_user_show                        ANY        ANY      ANY    /admin/app/user/{id}/show                           
  admin_app_user_export                      ANY        ANY      ANY    /admin/app/user/export                              
  admin_app_projet_list                      ANY        ANY      ANY    /admin/app/projet/list                              
  admin_app_projet_create                    ANY        ANY      ANY    /admin/app/projet/create                            
  admin_app_projet_batch                     ANY        ANY      ANY    /admin/app/projet/batch                             
  admin_app_projet_edit                      ANY        ANY      ANY    /admin/app/projet/{id}/edit                         
  admin_app_projet_delete                    ANY        ANY      ANY    /admin/app/projet/{id}/delete                       
  admin_app_projet_show                      ANY        ANY      ANY    /admin/app/projet/{id}/show                         
  admin_app_projet_export                    ANY        ANY      ANY    /admin/app/projet/export                            
  admin_app_client_list                      ANY        ANY      ANY    /admin/app/client/list                              
  admin_app_client_create                    ANY        ANY      ANY    /admin/app/client/create                            
  admin_app_client_batch                     ANY        ANY      ANY    /admin/app/client/batch                             
  admin_app_client_edit                      ANY        ANY      ANY    /admin/app/client/{id}/edit                         
  admin_app_client_delete                    ANY        ANY      ANY    /admin/app/client/{id}/delete                       
  admin_app_client_show                      ANY        ANY      ANY    /admin/app/client/{id}/show                         
  admin_app_client_export                    ANY        ANY      ANY    /admin/app/client/export                            
  fos_user_security_login                    GET|POST   ANY      ANY    /login                                              
  fos_user_security_check                    POST       ANY      ANY    /login_check                                        
  fos_user_security_logout                   GET|POST   ANY      ANY    /logout                                             
  fos_user_profile_show                      GET        ANY      ANY    /profile/                                           
  fos_user_profile_edit                      GET|POST   ANY      ANY    /profile/edit                                       
  fos_user_registration_register             GET|POST   ANY      ANY    /register/                                          
  fos_user_registration_check_email          GET        ANY      ANY    /register/check-email                               
  fos_user_registration_confirm              GET        ANY      ANY    /register/confirm/{token}                           
  fos_user_registration_confirmed            GET        ANY      ANY    /register/confirmed                                 
  fos_user_resetting_request                 GET        ANY      ANY    /resetting/request                                  
  fos_user_resetting_send_email              POST       ANY      ANY    /resetting/send-email                               
  fos_user_resetting_check_email             GET        ANY      ANY    /resetting/check-email                              
  fos_user_resetting_reset                   GET|POST   ANY      ANY    /resetting/reset/{token}                            
  fos_user_change_password                   GET|POST   ANY      ANY    /profile/change-password                            
  fos_js_routing_js                          GET        ANY      ANY    /js/routing.{_format}                               
  fullcalendar_loadevents                    ANY        ANY      ANY    /fullcalendar/load                                  
  fullcalendar_changedate                    ANY        ANY      ANY    /fullcalendar/change                                
  fullcalendar_resizedate                    ANY        ANY      ANY    /fullcalendar/resize                                
 ------------------------------------------ ---------- -------- ------ ---------------------------------------------------- 

